,rera_id,building_id,parking_type,count_booked
294,P49600000099,,Number of Garages ( In Numbers),0
295,P49600000099,,Covered Parking ( In Numbers),0
296,P49600000100,,Number of Garages ( In Numbers),0
297,P49600000100,,Covered Parking ( In Numbers),0
298,P49600000101,,Number of Garages ( In Numbers),0
299,P49600000101,,Covered Parking ( In Numbers),0
300,P49600000102,,Number of Garages ( In Numbers),0
301,P49600000102,,Covered Parking ( In Numbers),0
302,P49600000103,,Number of Garages ( In Numbers),0
303,P49600000103,,Covered Parking ( In Numbers),0
304,P49600000104,,Number of Garages ( In Numbers),0
305,P49600000104,,Covered Parking ( In Numbers),1
306,P49600000105,,Number of Garages ( In Numbers),0
307,P49600000105,,Covered Parking ( In Numbers),0
308,P49600000106,,Number of Garages ( In Numbers),0
309,P49600000106,,Covered Parking ( In Numbers),0
310,P49600000107,,Number of Garages ( In Numbers),0
311,P49600000107,,Covered Parking ( In Numbers),0
312,P49600000108,,Number of Garages ( In Numbers),0
313,P49600000108,,Covered Parking ( In Numbers),0
314,P49600000109,,Number of Garages ( In Numbers),0
315,P49600000109,,Covered Parking ( In Numbers),0
316,P49600000110,,Number of Garages ( In Numbers),0
317,P49600000110,,Covered Parking ( In Numbers),0
318,P49600000111,,Number of Garages ( In Numbers),0
319,P49600000111,,Covered Parking ( In Numbers),0
320,P49600000112,,Number of Garages ( In Numbers),0
321,P49600000112,,Covered Parking ( In Numbers),0
322,P49600000113,,Number of Garages ( In Numbers),0
323,P49600000113,,Covered Parking ( In Numbers),0
324,P49600000114,,Number of Garages ( In Numbers),0
325,P49600000114,,Covered Parking ( In Numbers),0
326,P49600000115,,Number of Garages ( In Numbers),0
327,P49600000115,,Covered Parking ( In Numbers),0
328,P49600000116,,Number of Garages ( In Numbers),0
329,P49600000116,,Covered Parking ( In Numbers),0
330,P49600000117,,Number of Garages ( In Numbers),0
331,P49600000117,,Covered Parking ( In Numbers),0
332,P49600000118,,Number of Garages ( In Numbers),0
333,P49600000118,,Covered Parking ( In Numbers),0
334,P49600000119,,Number of Garages ( In Numbers),0
335,P49600000119,,Covered Parking ( In Numbers),0
336,P49600000120,,Number of Garages ( In Numbers),0
337,P49600000120,,Covered Parking ( In Numbers),0
338,P49600000121,,Number of Garages ( In Numbers),0
339,P49600000121,,Covered Parking ( In Numbers),0
340,P49600000122,,Number of Garages ( In Numbers),0
341,P49600000122,,Covered Parking ( In Numbers),0
342,P49600000123,,Number of Garages ( In Numbers),0
343,P49600000123,,Covered Parking ( In Numbers),0
344,P49600000124,,Number of Garages ( In Numbers),0
345,P49600000124,,Covered Parking ( In Numbers),0
346,P49600000125,,Number of Garages ( In Numbers),0
347,P49600000125,,Covered Parking ( In Numbers),0
348,P49600000126,,Number of Garages ( In Numbers),0
349,P49600000126,,Covered Parking ( In Numbers),0
350,P49600000127,,Number of Garages ( In Numbers),0
351,P49600000127,,Covered Parking ( In Numbers),0
352,P49600000128,,Number of Garages ( In Numbers),0
353,P49600000128,,Covered Parking ( In Numbers),0
354,P49600000129,,Number of Garages ( In Numbers),0
355,P49600000129,,Covered Parking ( In Numbers),0
356,P49600000130,,Number of Garages ( In Numbers),0
357,P49600000130,,Covered Parking ( In Numbers),0
358,P49600000131,,Number of Garages ( In Numbers),0
359,P49600000131,,Covered Parking ( In Numbers),0
360,P49600000132,,Number of Garages ( In Numbers),0
361,P49600000132,,Covered Parking ( In Numbers),0
362,P49600000133,,Number of Garages ( In Numbers),0
363,P49600000133,,Covered Parking ( In Numbers),0
364,P49600000134,,Number of Garages ( In Numbers),0
