,address_id,house_number,block_number,building_name,street_name,locality,landmark,state,division,district,taluka,village,pincode
12931,7fa03066929858f1403935e29b3bee61,,,,VRINDAVAN NAGAR,KAMATHWADE SHIVAR,,MAHARASHTRA,Nashik,Nashik,Nashik,Nashik (M Corp.),422010
12932,7fa2377c35c1a04658d2ddc59132e700,,11,KAMALA BHAVAN,"S. V. ROAD,",KANDIVALI,OPP. FIRE BRIGADE,MAHARASHTRA,Konkan,Mumbai Suburban,Borivali,Borivali,400067
12933,7fa4ccea6db4ec0e562a1383433e3abd,101/B-WING,,Bhagwati Ashish CHSL.,"ROAD.NO - 04, NATWAR NAGAR",JOGESHWARI EAST,NEAR SVM HIGH SCHOOL,MAHARASHTRA,Konkan,Mumbai Suburban,Andheri,Andheri,400060
12934,7faeaacb97a5a47a9c212377643b5a19,,Plot No 24,Ramkrupa Shambhu Mahadevnagar,Osmanpura,Near Sahkar Nagar,Osmanpura,MAHARASHTRA,Aurangabad,Aurangabad,Aurangabad,Aurangabad (M Corp.),431005
12935,7fafd3ca5bbb7e610bca72caa0cef915,,H-139,ANSA INDUSTRIAL ESTATE,SAKI VIHAR ROAD,SAKI NAKA,ANDHERI (E),MAHARASHTRA,Konkan,Mumbai City,Mumbai City,Mumbai City,400072
12936,7fb4e77013bcc5448d6f961ec07c2223,,B 8 SHAILADHI CO OP HSG SOCIETY,PATHARDI,WADALA ROAD,VINAY NAGAR,NASHIK,MAHARASHTRA,Nashik,Nashik,Nashik,Nashik,422006
12937,7fb61c96790eef8fc7707987d9e42cd2,,,,"Plot No. 46, Kh. No. 36/2",Mouza - Gorewada,,MAHARASHTRA,Nagpur,Nagpur,Nagpur (Urban),Nagpur (M Corp.),440013
12938,7fbac55fe5cafa6bb41ac11913e9eb56,,PLOT NO 471,KRISHNALAYA,KANSAI,KANSAI SECTION,AMBERNATH,MAHARASHTRA,Konkan,Thane,Ambarnath,Ambarnath(M Cl),421501
12939,7fbc66e191537a6b4f26bf3e1cc55cf0,,,,JALNA ROAD,KARMAD,,MAHARASHTRA,Aurangabad,Aurangabad,Aurangabad,Karmad,431007
12940,7fbe8ef421679198ed976ce463526a18,,A/5 3RD FLOOR,MUKUND APARTMENT,MANPADA ROAD,DOMBIVLI EAST,MANPADA ROAD,MAHARASHTRA,Konkan,Thane,Kalyan,DOMBIVLI,421201
12941,7fc08fc061b3d13b64fc1fdd0d2467bb,,,,,,,MAHARASHTRA,Konkan,Mumbai City,Mumbai City,Mumbai City,400058
12942,7fc0c3512d064c61d8c0bd7ed04b63ab,,,,PANDIT DINDAYAL ROAD,DOMBIVLI WEST,,MAHARASHTRA,Konkan,Thane,Kalyan,DOMBIVLI,421202
12943,7fc21b55d8f4dbbfd5fdb5c3e1aa7b3d,,,,NEAR SARA SANGAM,BAJAJ NAGAR,,MAHARASHTRA,Aurangabad,Aurangabad,Aurangabad,Wadgaon Kolhati (CT),431136
12944,7fc34661129d0b63fd0583ae79f8fc87,,S 50,SK Open Mall,College road,College Road,Near Shraddha Petrol pump,MAHARASHTRA,Nashik,Nashik,Nashik,Nashik,422005
12945,7fc4100287de5dd70d68bde42d68b1cf,,,,"Behind Aastha Hospital, Rukhmini Nagar Amravati - 444606",Amravati,,MAHARASHTRA,Amravati,Amravati,Amravati,Amravati (M Corp.),444606
12946,7fc4b3da38d6d1ae24b3b5f9ace101fa,,,,"C.T.S. NO. 9378, SURVEY NO. 131/8/1/B",AMBERNATH VILLAGE,,MAHARASHTRA,Konkan,Thane,Ambarnath,Ambarnath(M Cl),421501
12947,7fc82477550565db4df3e24c1984ed2f,,,,S.V Road,Andheri West,,MAHARASHTRA,Konkan,Mumbai Suburban,Andheri,Andheri,400058
12948,7fc8c74b76363c8efa332e85fed79490,,Plot Number 9C,Devkinandan,Sector 3E,Airoli,Navi Mumbai,MAHARASHTRA,Konkan,Thane,Thane,Navi Mumbai (M Corp.),400708
12949,7fcb27e841e5adf6c76b57746975e0a8,,,,NEAR SAI BABA MANDIR,BETURKAR PADA,,MAHARASHTRA,Konkan,Thane,Kalyan,Chikanghar,421301
12950,7fcc6bb54539976d61a05bbe54838a1c,,2,Sharan,Mathuradas Cross Road,Iraniwadi,Asian Bakery,MAHARASHTRA,Konkan,Mumbai Suburban,Borivali,Borivali,400067
12951,7fcf868813f45a76a0ccd1d582ed1cfc,11,,SHIVTIRTH CHSL,MADHUSUDHAN KALELKAR ROAD,BANDRA EAST,BEHIND GURUNANAK HOSPITAL,MAHARASHTRA,Konkan,Mumbai City,Mumbai City,Mumbai City,400051
12952,7fd0de9ee3229e3f21ee203dbe9f1048,,,,Maulana Azad Road,Mahalaxmi,,MAHARASHTRA,Konkan,Mumbai City,Ward E,E-400011,400011
12953,7fd1f9d732548600193dafba9726cb88,,112,Vasudev Laxmi Society,"Kelkar Road,",Dombivli East.,Near Madhuban Talkies,MAHARASHTRA,Konkan,Thane,Kalyan,DOMBIVLI,421201
12954,7fd3627a812d95367e33d1c0a687d226,,,,Morivali,Morivali Ambarnath,,MAHARASHTRA,Konkan,Thane,Ambarnath,,421501
12955,7fd465a416c34abe75d31ec9207fb913,1,,Amrut Tower,Ambad Link Road,Ambad,Ambad,MAHARASHTRA,Nashik,Nashik,Nashik,Nashik,422010
12956,7fd7127e2101202885148404fe98bf00,,PLOT NO 1 AND 2 S NO 680/5,CHOPDA TWIN TOWER,GANGAPUR ROAD,CHOPDA ESTATE,CHOPDA LAWNS,MAHARASHTRA,Nashik,Nashik,Nashik,Nashik (M Corp.),422013
12957,7fd7963f9d39a7d7067128d86a4df841,,215,BPS PLAZA,DEVIDAYAL ROAD,MULUND WEST,NEAR BUS DEPOT,MAHARASHTRA,Konkan,Mumbai Suburban,Kurla,Kurla,400080
12958,7fd94f5118fc9e8cc2de7780411e285e,FLAT NO 302,,MANTRI SMRUTI,CHITTARANJAN ROAD,VILE PARLE EAST,NEXT TO CENTRAL BANK OF INDIA,MAHARASHTRA,Konkan,Mumbai Suburban,Andheri,Andheri,400057
12959,7fdca2f656f983f1911532a3d220fe69,,,,Mullabaug,Majiwade,,MAHARASHTRA,Konkan,Thane,Thane,Thane (M Corp.),400610
12960,7fe0dcce8a8d35dba118d6f21941897e,,,,,,,MAHARASHTRA,Amravati,Amravati,Achalpur,Achalpur (M Cl),444801
12961,7fe46e39221ab0137c823dd509bcb8c6,,,,Silver Park,Mira Road East,,MAHARASHTRA,Konkan,Thane,Thane,Mira-Bhayandar (M Corp.),401107
12962,7fe5f107ba51842031b1ec0863cd5b31,,,,OPP SAMAROH LAWNS PATHARDI VADNER ROAD,NEAR PATHARDI CIRCLE,,MAHARASHTRA,Nashik,Nashik,Nashik,Nashik (M Corp.),422010
